raw_regime,market_return,cross_sectional_dispersion,breadth,realized_volatility_20d,trend_60d,liquidity_stress,sector_dispersion,sector_return_max_minus_min,market_move_to_dispersion,stress_score,regime,mapping_method,match_distance,regime_model_id,fit_start_date,fit_end_date
0,-0.0009820773718298207,0.011617372964074738,0.47737803993850714,0.015861647502425847,-0.06548779519134265,0.04306722000807453,0.007960265477241373,0.023541893887735747,1.1045134935880827,2.198564470558198,2,canonical_stress_order,0.0,0,2018-03-29,2019-03-29
1,0.010017324356628433,0.017520934318333018,0.76169259008392,0.011802354880137249,0.007697857000645233,-0.112208103335653,0.012836998127601714,0.03914917303947596,0.5422068875548436,1.4308413151408474,1,canonical_stress_order,0.0,0,2018-03-29,2019-03-29
2,-0.015541799773422196,0.022830157780757143,0.1519233997836104,0.01362774885444956,-0.04331196345970138,-0.4081993806959127,0.01725468084240225,0.05211645831959015,0.43411841505656723,7.766460066307426,3,canonical_stress_order,0.0,0,2018-03-29,2019-03-29
3,0.000802426824399288,0.009733618531782685,0.5289670984422669,0.0066660360331270135,0.06221569442876067,0.0013520268725628407,0.006987186854642354,0.02094582009715838,0.574972875888886,-2.6344049113240238,0,canonical_stress_order,0.0,0,2018-03-29,2019-03-29
0,0.009548564831980898,0.01762758310365968,0.753747712800946,0.011354809442280098,0.016095850101699033,-0.11155193954332107,0.012901812183037448,0.039398166485683714,0.5155120829105944,1.5069354124689534,1,sequential_centroid_match,0.06127205475901096,1,2018-03-29,2019-04-29
1,0.0008448975278444546,0.009800355548556435,0.5313642143392413,0.00662456645975148,0.0679311485580708,-0.0006985243093955568,0.007013971425898544,0.021059825732741247,0.570936052917222,-2.5211083572381896,0,sequential_centroid_match,0.02878507877996071,1,2018-03-29,2019-04-29
2,-0.01554124121069748,0.022911030997996622,0.15102434615195043,0.01358981794100022,-0.043368658607467886,-0.4035165555151047,0.017232540507691973,0.05215770868953247,0.43567265732147165,8.061222068440689,3,sequential_centroid_match,0.007796933202980046,1,2018-03-29,2019-04-29
3,-0.0009700816546597309,0.011576739766478042,0.47712099714803924,0.015876522110686683,-0.06568673312077719,0.042885551521670666,0.007973810628757464,0.023575116426423095,1.1036521189686794,2.375221590142087,2,sequential_centroid_match,0.003373417103463694,1,2018-03-29,2019-04-29
0,0.0023233881518125933,0.0126072239195494,0.5613444743865974,0.016141623360850836,-0.06485276424900216,0.0483047576165961,0.008788680152579213,0.026193620952122965,1.070394430849454,2.63524834238158,2,sequential_centroid_match,0.19524762200029197,2,2018-03-29,2019-05-28
1,0.0013682897269391915,0.008819878025146914,0.5389180523324687,0.006871734293647064,0.06301042137514724,0.028185804092393366,0.006221887675929692,0.018610478914720237,0.6308516529359607,-2.8503422908655023,0,sequential_centroid_match,0.13355830754084166,2,2018-03-29,2019-05-28
