signal,hac_max_lag,mean_rank_ic,std_rank_ic,hac_se_mean,hac_t_stat,ci95_low,ci95_high,n_days
momentum_60d_z,9,0.012318419278732725,0.3224524355993916,0.01693915951404542,0.7272154954629643,-0.0208823333687963,0.045519171926261745,2064
reversal_5d_z,9,0.008952473736234031,0.31136084656259694,0.01279307039360828,0.6997908602697049,-0.016121944235238196,0.03402689170770626,2064
liquidity_adjusted_momentum_z,9,0.006509100101112236,0.28657356603124634,0.01412172715621565,0.460928045777125,-0.02116948512507044,0.03418768532729491,2064
momentum_20d_z,9,-0.00025025278058645156,0.2951005518377088,0.014500864706577925,-0.01725778328742914,-0.028671947605479184,0.02817144204430628,2064
momentum_20d_vol_adj_z,9,-0.0028985507246376795,0.2827580737131668,0.013816510904027066,-0.20978890725536545,-0.029978912096530728,0.02418181064725537,2064
