metric,value
source_path,data/raw/prices.csv
raw_rows,51240
assets,24
sectors,8
trading_days,2135
first_date,2018-01-02
last_date,2026-07-01
duplicate_date_asset_rows,0
missing_ohlcv_values,0
nonfinite_ohlcv_values,0
nonpositive_price_values,0
negative_volume_rows,0
high_below_low_rows,0
expected_balanced_rows,51240
missing_balanced_panel_rows,0
minimum_asset_rows,2135
maximum_asset_rows,2135
maximum_absolute_daily_return,0.35116607551133094
daily_returns_over_20_percent,12
