raw_regime,regime,stress_score,mapping_method,match_distance,regime_model_id,fit_start_date,fit_end_date,assignment_start_date,assignment_end_date
0,2,2.6136346717351095,sequential_centroid_match,0.03013660315467544,11,2018-03-29,2020-02-12,2020-02-13,2020-03-12
1,0,-2.361678841778792,sequential_centroid_match,0.0314240804977171,11,2018-03-29,2020-02-12,2020-02-13,2020-03-12
2,3,6.660514798218647,sequential_centroid_match,0.14581842576209975,11,2018-03-29,2020-02-12,2020-02-13,2020-03-12
3,1,0.1792305436378725,sequential_centroid_match,0.07958994615425548,11,2018-03-29,2020-02-12,2020-02-13,2020-03-12
0,0,-2.3206962679023238,sequential_centroid_match,0.03485990321343887,12,2018-03-29,2020-03-12,2020-03-13,2020-04-09
1,3,8.349796915773734,sequential_centroid_match,0.6050841359834455,12,2018-03-29,2020-03-12,2020-03-13,2020-04-09
2,2,2.621233238728838,sequential_centroid_match,0.20898080485769907,12,2018-03-29,2020-03-12,2020-03-13,2020-04-09
3,1,0.3489881647118349,sequential_centroid_match,0.10700153880756193,12,2018-03-29,2020-03-12,2020-03-13,2020-04-09
0,3,19.306166267486358,sequential_centroid_match,4.0869720686831545,13,2018-03-29,2020-04-09,2020-04-13,2020-05-08
1,0,-1.641941816036164,sequential_centroid_match,0.218356817150235,13,2018-03-29,2020-04-09,2020-04-13,2020-05-08
2,1,2.078120729374103,sequential_centroid_match,0.6601751382215633,13,2018-03-29,2020-04-09,2020-04-13,2020-05-08
3,2,9.968130164813285,sequential_centroid_match,2.8035944723137325,13,2018-03-29,2020-04-09,2020-04-13,2020-05-08
0,1,1.8835572431780714,sequential_centroid_match,0.0420953964254594,14,2018-03-29,2020-05-08,2020-05-11,2020-06-08
1,0,-1.87939849397059,sequential_centroid_match,0.011293758405887283,14,2018-03-29,2020-05-08,2020-05-11,2020-06-08
2,2,8.316738180772685,sequential_centroid_match,0.39110577436605665,14,2018-03-29,2020-05-08,2020-05-11,2020-06-08
3,3,18.12154119763293,sequential_centroid_match,0.21407091594003885,14,2018-03-29,2020-05-08,2020-05-11,2020-06-08
0,1,2.2349632903501058,sequential_centroid_match,0.43040556796777396,15,2018-03-29,2020-06-08,2020-06-09,2020-07-07
1,3,13.44591263519609,sequential_centroid_match,1.4738520324185422,15,2018-03-29,2020-06-08,2020-06-09,2020-07-07
2,0,-2.1031489396135914,sequential_centroid_match,0.048717062413450335,15,2018-03-29,2020-06-08,2020-06-09,2020-07-07
3,2,0.9744352034529471,sequential_centroid_match,1.490855367894398,15,2018-03-29,2020-06-08,2020-06-09,2020-07-07
0,2,0.5996445637247719,sequential_centroid_match,0.11249978168783956,16,2018-03-29,2020-07-07,2020-07-08,2020-08-04
1,0,-2.030156031942337,sequential_centroid_match,0.03898338467331728,16,2018-03-29,2020-07-07,2020-07-08,2020-08-04
2,1,2.3503964882471102,sequential_centroid_match,0.1686311585445546,16,2018-03-29,2020-07-07,2020-07-08,2020-08-04
3,3,13.479538779110127,sequential_centroid_match,0.046958288495117066,16,2018-03-29,2020-07-07,2020-07-08,2020-08-04
0,0,-2.0252870426719247,sequential_centroid_match,0.025867543756579795,17,2018-03-29,2020-08-04,2020-08-05,2020-09-01
1,2,1.1559014385030917,sequential_centroid_match,0.1285276529135315,17,2018-03-29,2020-08-04,2020-08-05,2020-09-01
2,3,13.534870174477565,sequential_centroid_match,0.021883032071718534,17,2018-03-29,2020-08-04,2020-08-05,2020-09-01
3,1,2.0413265459391723,sequential_centroid_match,0.12195098640887232,17,2018-03-29,2020-08-04,2020-08-05,2020-09-01
0,2,0.986482177371369,sequential_centroid_match,0.064794856929251,18,2018-03-29,2020-09-01,2020-09-02,2020-09-30
1,1,2.138992581657428,sequential_centroid_match,0.014609114075394159,18,2018-03-29,2020-09-01,2020-09-02,2020-09-30
2,0,-1.9917879055045853,sequential_centroid_match,0.008514202769122977,18,2018-03-29,2020-09-01,2020-09-02,2020-09-30
3,3,13.576989422353714,sequential_centroid_match,0.009214497673557509,18,2018-03-29,2020-09-01,2020-09-02,2020-09-30
0,3,13.699303070034004,sequential_centroid_match,0.006676011120419522,19,2018-03-29,2020-09-30,2020-10-01,2020-10-28
1,0,-1.990726466121861,sequential_centroid_match,0.02442550642677263,19,2018-03-29,2020-09-30,2020-10-01,2020-10-28
2,1,1.9991670432845825,sequential_centroid_match,0.040568617191290714,19,2018-03-29,2020-09-30,2020-10-01,2020-10-28
3,2,1.150962112200792,sequential_centroid_match,0.0491688520101405,19,2018-03-29,2020-09-30,2020-10-01,2020-10-28
0,3,13.870157492310414,sequential_centroid_match,0.004754346768740458,20,2018-03-29,2020-10-28,2020-10-29,2020-11-25
1,1,1.293568735342548,sequential_centroid_match,0.14340776214251674,20,2018-03-29,2020-10-28,2020-10-29,2020-11-25
2,2,1.453175529147051,sequential_centroid_match,0.06287713220252605,20,2018-03-29,2020-10-28,2020-10-29,2020-11-25
3,0,-2.0523498217335514,sequential_centroid_match,0.052491301002591195,20,2018-03-29,2020-10-28,2020-10-29,2020-11-25
0,0,-2.0120104310770524,sequential_centroid_match,0.013924384610510637,21,2018-03-29,2020-11-25,2020-11-27,2020-12-24
1,1,1.2363968170286754,sequential_centroid_match,0.014067070411941782,21,2018-03-29,2020-11-25,2020-11-27,2020-12-24
2,2,1.508633503016818,sequential_centroid_match,0.062170259073815515,21,2018-03-29,2020-11-25,2020-11-27,2020-12-24
3,3,13.517735123373877,sequential_centroid_match,0.14068627088661154,21,2018-03-29,2020-11-25,2020-11-27,2020-12-24
0,1,1.2453670481949533,sequential_centroid_match,0.011190540629629913,22,2018-03-29,2020-12-24,2020-12-28,2021-01-26
1,0,-1.998044639667613,sequential_centroid_match,0.0057976319007185745,22,2018-03-29,2020-12-24,2020-12-28,2021-01-26
