regime,market_return,cross_sectional_dispersion,breadth,realized_volatility_20d,trend_60d,liquidity_stress,sector_dispersion,sector_return_max_minus_min,market_move_to_dispersion,n_days
0,0.0031187851146634547,0.010759844236517624,0.5998633879781421,0.008101528807750363,0.06613979350026261,0.03647943730562916,0.007596281221610764,0.02250986752303494,0.6254644228234035,915
1,-0.007895942518182233,0.014143311490050076,0.2872146118721461,0.010559640746094324,0.031181667632685983,-0.15303995316530947,0.010658898629411119,0.032059386769772935,0.610793829942497,365
2,0.004055379579090126,0.020465017313118478,0.5727287909151637,0.010870174468415176,0.04570435730983241,-0.1670848214831723,0.016256880715094974,0.04877750892097091,0.45208521045651945,499
3,-0.011459688114547305,0.03345894329162619,0.35890151515151514,0.026146903131959855,-0.06619491586160076,-0.5660973978439121,0.026295438602162446,0.07908532917655803,0.6666271108373343,44
