signal,year,hac_max_lag,mean_rank_ic,std_rank_ic,hac_se_mean,hac_t_stat,ci95_low,ci95_high,n_days
liquidity_adjusted_momentum_z,2018,9,0.060938215102974806,0.24287153541301112,0.033559732498059124,1.8158134933435204,-0.004838860593221077,0.12671529079917068,190
liquidity_adjusted_momentum_z,2019,9,-0.003285024154589376,0.25822221323765127,0.0392270752232701,-0.08374379522031379,-0.08017009159219878,0.07360004328302001,252
liquidity_adjusted_momentum_z,2020,9,0.08357449733631207,0.2654034176657074,0.0326918272418889,2.556433958797686,0.019498515942209832,0.14765047873041431,253
liquidity_adjusted_momentum_z,2021,9,-0.038112491373360945,0.29436342783459984,0.03881038064625106,-0.9820179740247529,-0.114180837440013,0.03795585469329112,252
liquidity_adjusted_momentum_z,2022,9,-0.0041988567469253444,0.33004295135944434,0.04690661277565751,-0.08951524099613452,-0.09613581778721406,0.08773810429336337,251
liquidity_adjusted_momentum_z,2023,9,-0.03380869565217391,0.2743239281770201,0.03896723567900813,-0.8676185277978763,-0.11018447758302985,0.042567086278682026,250
liquidity_adjusted_momentum_z,2024,9,0.008978605935127662,0.3222868793854557,0.04745446123936321,0.18920467540109712,-0.08403213809402424,0.10198934996427955,252
liquidity_adjusted_momentum_z,2025,9,-0.018302608695652176,0.260583134900511,0.035132219259640274,-0.520963636267582,-0.08716175844454711,0.05055654105324277,250
liquidity_adjusted_momentum_z,2026,9,0.025995423340961096,0.2954450390991657,0.06290094064118922,0.41327558977613443,-0.09729042031576976,0.14928126699769195,114
momentum_20d_vol_adj_z,2018,9,0.022178489702517158,0.22519943558598704,0.02721273090327845,0.815004189816363,-0.031158462867908604,0.07551544227294292,190
momentum_20d_vol_adj_z,2019,9,-0.07105590062111802,0.28059773237078756,0.0407629491906026,-1.7431491595190833,-0.15095128103469913,0.008839479792463079,252
momentum_20d_vol_adj_z,2020,9,0.10201065475167553,0.27702172079544224,0.03445579094628665,2.9606243812745605,0.0344773044969537,0.16954400500639738,253
momentum_20d_vol_adj_z,2021,9,-0.05922015182884748,0.28514241787662964,0.037097480125623084,-1.5963389326798063,-0.13193121287506873,0.01349090921737376,252
momentum_20d_vol_adj_z,2022,9,0.023343149142560186,0.30828284923290455,0.04324459608439499,0.539793436780039,-0.06141625918285399,0.10810255746797437,251
momentum_20d_vol_adj_z,2023,9,-0.019864347826086964,0.2598037181683448,0.03633176981911742,-0.546748697489395,-0.09107461667155711,0.05134592101938318,250
momentum_20d_vol_adj_z,2024,9,-0.004382332643202213,0.3116436048256505,0.045949958462081074,-0.09537185211644122,-0.09444425122888112,0.08567958594247668,252
momentum_20d_vol_adj_z,2025,9,-0.03024347826086956,0.25029348265800494,0.03252604943653124,-0.9298232888652613,-0.0939945351564708,0.03350757863473167,250
momentum_20d_vol_adj_z,2026,9,0.0403203661327231,0.29426090647607217,0.06494785059754103,0.6208114011743702,-0.08697742103845732,0.16761815330390353,114
momentum_20d_z,2018,9,0.035537757437070945,0.2453581320408341,0.032534541373824846,1.0923085415201914,-0.02822994365562575,0.09930545852976763,190
momentum_20d_z,2019,9,-0.046890959282263625,0.2876496652859217,0.04251618130444216,-1.1028967758533004,-0.13022267463897025,0.03644075607444301,252
momentum_20d_z,2020,9,0.08142292490118577,0.29974939045610854,0.03837489057290447,2.1217760802861134,0.0062081393782930094,0.15663771042407854,253
momentum_20d_z,2021,9,-0.05968253968253968,0.28995230294526136,0.03660442902598964,-1.6304731768979175,-0.1314272205734794,0.012062141208400025,252
momentum_20d_z,2022,9,0.019684739303654938,0.325209820920808,0.0445421700223502,0.44193489661095553,-0.06761791394015144,0.10698739254746133,251
momentum_20d_z,2023,9,-0.01963478260869565,0.2846888343509392,0.04130493989635882,-0.4753616070611091,-0.10059246480555893,0.061322899588167626,250
momentum_20d_z,2024,9,0.0018771566597653628,0.31666476407048,0.0470562027882419,0.039891800624303975,-0.09035300080518877,0.09410731412471948,252
momentum_20d_z,2025,9,-0.02054260869565217,0.263661185923315,0.03580247251782507,-0.5737762576432276,-0.09071545483058929,0.049630237439284956,250
momentum_20d_z,2026,9,0.0317391304347826,0.310299466220356,0.06880012323562645,0.46132374394276193,-0.10310911110704524,0.16658737197661044,114
momentum_60d_z,2018,9,0.042526315789473676,0.2804505681184607,0.04565799635957347,0.9314100306672097,-0.04696335707529031,0.13201598865423766,190
momentum_60d_z,2019,9,-0.014544513457556934,0.2861091168253135,0.04591283244645571,-0.31678536658610595,-0.10453366505261012,0.07544463813749626,252
momentum_60d_z,2020,9,0.04813541845677951,0.3579194269002986,0.04878791428612645,0.9866258716140179,-0.047488893544028334,0.14375973045758736,253
momentum_60d_z,2021,9,-0.03166321601104209,0.35942442835628857,0.05313867394490352,-0.5958601082870808,-0.13581501694305298,0.07248858492096881,252
momentum_60d_z,2022,9,0.02326693227091632,0.3520884584472945,0.054363067218193416,0.4279915292036667,-0.08328467947674277,0.1298185440185754,251
momentum_60d_z,2023,9,-0.02455304347826086,0.3061147595393759,0.04273922506251377,-0.5744849945769405,-0.10832192460078785,0.059215837644266134,250
momentum_60d_z,2024,9,0.04087991718426501,0.2751547524407348,0.04069901815906851,1.004444800719503,-0.03889015840750927,0.12064999277603929,252
momentum_60d_z,2025,9,0.02437217391304347,0.29676700423940705,0.044995207642923786,0.5416615499690084,-0.06381843306708715,0.11256278089317409,250
momentum_60d_z,2026,9,0.006270022883295188,0.3917378211043539,0.09544885832355565,0.06568986778281685,-0.18080973943087386,0.19334978519746426,114
reversal_5d_z,2018,9,0.0548604118993135,0.2732457647117274,0.03097158319203234,1.7713144193877288,-0.005843891157069882,0.1155647149556969,190
reversal_5d_z,2019,9,0.014774298344807117,0.26892797165134397,0.027669126433252204,0.5339633103505451,-0.0394571894643672,0.06900578615398144,252
reversal_5d_z,2020,9,0.017972160164976794,0.36830228777635937,0.044907481536259786,0.4002041430549936,-0.07004650364609238,0.10599082397604598,253
reversal_5d_z,2021,9,-0.0073291925465838485,0.3393806576616983,0.041345671794179695,-0.17726625855951364,-0.08836670926317605,0.07370832417000836,252
reversal_5d_z,2022,9,0.0028893123159535812,0.32602160903741173,0.03924057124465229,0.07363074043799342,-0.0740222073235649,0.07980083195547208,251
reversal_5d_z,2023,9,-0.025885217391304345,0.3133571297175666,0.04082143623728782,-0.6341084434373679,-0.10589523241638846,0.054124797633779774,250
